,_id,_labels,class_type,email,is_admin,name,password_hash,phone_number,price,seats,_start,_end,_type,buy_date,time
87,,,,,,,,,,,2.0,0.0,LOCATED,,
88,,,,,,,,,,,3.0,0.0,LOCATED,,
89,,,,,,,,,,,4.0,0.0,LOCATED,,
90,,,,,,,,,,,6.0,5.0,LOCATED,,
91,,,,,,,,,,,7.0,5.0,LOCATED,,
92,,,,,,,,,,,9.0,8.0,LOCATED,,
93,,,,,,,,,,,11.0,10.0,LOCATED,,
94,,,,,,,,,,,13.0,12.0,LOCATED,,
95,,,,,,,,,,,15.0,14.0,LOCATED,,
96,,,,,,,,,,,1.0,0.0,LOCATED,,
97,,,,,,,,,,,17.0,16.0,LOCATED,,
98,,,,,,,,,,,19.0,18.0,LOCATED,,
131,,,,,,,,,,,64.0,0.0,LOCATED,,
132,,,,,,,,,,,65.0,0.0,LOCATED,,
133,,,,,,,,,,,66.0,0.0,LOCATED,,
134,,,,,,,,,,,67.0,0.0,LOCATED,,
135,,,,,,,,,,,68.0,5.0,LOCATED,,
136,,,,,,,,,,,69.0,5.0,LOCATED,,
137,,,,,,,,,,,70.0,8.0,LOCATED,,
138,,,,,,,,,,,71.0,10.0,LOCATED,,
139,,,,,,,,,,,73.0,72.0,LOCATED,,
140,,,,,,,,,,,74.0,14.0,LOCATED,,
141,,,,,,,,,,,75.0,16.0,LOCATED,,
142,,,,,,,,,,,76.0,18.0,LOCATED,,
